2026-09-13T16:37:20.447+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentScenePhaseReportMapper' and 'cn.jia.agent.mapper.AgentScenePhaseReportMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.448+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentSceneStateMapper' and 'cn.jia.agent.mapper.AgentSceneStateMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.449+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentSkillInstallRecoveryMapper' and 'cn.jia.agent.mapper.AgentSkillInstallRecoveryMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.450+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskArtifactMapper' and 'cn.jia.agent.mapper.AgentTaskArtifactMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.451+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskArtifactOutcomeMapper' and 'cn.jia.agent.mapper.AgentTaskArtifactOutcomeMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.452+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskBountyQuoteMapper' and 'cn.jia.agent.mapper.AgentTaskBountyQuoteMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.452+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskContextPackMapper' and 'cn.jia.agent.mapper.AgentTaskContextPackMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.453+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskEventMapper' and 'cn.jia.agent.mapper.AgentTaskEventMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.454+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskFundingMapper' and 'cn.jia.agent.mapper.AgentTaskFundingMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.455+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskMemberMapper' and 'cn.jia.agent.mapper.AgentTaskMemberMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.456+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskMetaMapper' and 'cn.jia.agent.mapper.AgentTaskMetaMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.457+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskNoteMapper' and 'cn.jia.agent.mapper.AgentTaskNoteMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.457+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskOutputMapper' and 'cn.jia.agent.mapper.AgentTaskOutputMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.458+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskRequestMapper' and 'cn.jia.agent.mapper.AgentTaskRequestMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.459+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskSettlementMapper' and 'cn.jia.agent.mapper.AgentTaskSettlementMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.460+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'agentTaskWorkItemMapper' and 'cn.jia.agent.mapper.AgentTaskWorkItemMapper' mapperInterface. Bean already defined with the same name!
